id,name,description,city,state
11,A-K ASSOC,12/30/05,SACRAMENTO,CA
22,AAI CORPORATION,,HUNT VALLEY,MD
33,AB MANAGEMENT ASSOCIATES,12/31/2006,BURKE,VA
44,AMERICAN BANKERS ASSOCIATION SECURITIES ASSOCIATION (ABASA),,WASHINGTON,DC
55,"ABB, INC.",,Cary,NC
66,ABBOTT LABORATORIES,,WASHINGTON,DC
77,ABC,,WASHINGTON,DC
88,ABLONDI FOSTER SOBIN & DAVIDOW,,WASHINGTON,DC
90,ABR INFORMATION SERVICES,,,DC
102,ABS GROUP OF COMPANIES,,HOUSTON,TX
113,ACADEMY FOR RADIOLOGY & BIOMEDICAL IMAGING RESEARCH,non-profit organization,Washington,DC
124,ACG INTERCONTINENTAL,,ARLINGTON,VA
135,ACIL,,WASHINGTON,DC
146,ACKERSON GROUP,,,DC
157,"ADAMS AND REESE, LLP",Law Firm,WASHINGTON,DC
168,"ADCOCK, MICHAEL W",,ANNANDALE,VA
170,ADDUCCI DORF LEHNER MITCHELL & BLANKENSHIP,,CHICAGO,IL
181,"ADDUCI, MASTRIANI & SCHAUMBERG, L.L.P.",Law firm,Washington,DC
192,ADROIT CONSULTANTS,,,DC
215,ADVANCED PARADIGM CONSULTING,,WASHINGTON,DC
226,ADVANCED STRATEGIES,Public Affairs Strategy and Lobbying,Boston,MA
237,ADVANTA CORPORATION,,WILMINGTON,DE
248,ADVANTAGE ASSOCIATES INTERNATIONAL,Defence finding,Stevensville,MD
250,ASSOCIATION FOR POSTAL COMMERCE,Trade Association,Alexandria,VA
261,THE ADVOCACY GROUP,Lobbying,Washington,DC
272,ADVOCATES FOR HIGHWAY AND AUTO SAFETY,,WASHINGTON,DC
283,"THE AEGIS GROUP, LTD.",government relations,Washington,DC
294,PROVIDIAN FINANCIAL CORP,,WASHINGTON,DC
306,AEQUUS CORP,,OLYMPIA,WA
317,"AEROJET ROCKETDYNE, INC",AEROSPACE AND DEFENSE MANUFACTURING AND SERVICES,MELBOURNE,FL
328,"AEROSPACE INDUSTRIES ASSOCIATION OF AMERICA, INC.",,ARLINGTON,VA
330,"AIRBUS AMERICAS, INC","Corporation focused on designing & manufacturing aerospace products, services, & solutions",Herndon,VA
341,AESOP ENTERPRISES,,WASHINGTON,DC
352,AETNA INC.,,HARTFORD,CT
363,AFL-CIO,,Washington,DC
374,AFL-CIO MARITIME COMM,,"CAMP SPRINGS,",MD
385,AFLAC INCORPORATED,,COLUMBUS,GA
396,AFRICA RESOURCES TRUST,,WASHINGTON,DC
408,AFTON ASSOC,,WASHINGTON,DC
410,AGAMERICA DISTRICT FARM CREDIT COUNCIL,,SACRAMENTO,CA
421,AGFIRST FARM CREDIT BANK,,COLUMBIA,SC
443,"AGRIBANK, FCB",,ST. PAUL,MN
454,AGRICULTURAL RETAILERS ASSOCIATION,,WASHINGTON,DC
465,AGWAY,,SYRACUSE,NY
476,"AHMANSON & CO, HF",,IRWINDALE,CA
498,"AHO, DAVID",,LAKE BLUFF,IL
501,AIDS ACTION COUNCIL,,Washington,DC
512,AIDS HOUSING CORP,,,DC
523,EDO CORPORATION,,NEW YORK,NY
534,MS. VIRGINIA AINSLIE,Advocacy,Arlington,VA
545,AQUA ALLIANCE INC,,WAKEFIELD,MA
556,"AIR-CONDITIONING, HEATING, AND REFRIGERATION INSTITUTE","Energy, Environment",Arlington,VA
567,AIR CONDITIONING CONTRACTORS OF AMERICA,,Alexandria,VA
578,AIR FORCE SERGEANTS ASSOCIATION,"Military, Veterans Affairs",SUITLAND,MD
580,AIR LINE PILOTS ASSOCIATION,,McLean,VA
591,AIR LIQUIDE AMERICA CORP,,QUANTICO,VA
603,"AIR PRODUCTS AND CHEMICALS, INC.",Industrial Gas and Chemicals Manufacturer,Allentown,PA
614,"AIR TRANSPORT ASSOCIATION OF AMERICA, INC. (D/B/A AIRLINES FOR AMERICA)",Trade association representing the larger U.S. passenger and cargo airlines,WASHINGTON,DC
625,AIRCRAFT OWNERS & PILOTS ASSOCIATION,,Frederick,MD
636,AIRPORT MINORITY ADVISORY COUNCIL,,ALEXANDIRA,VA
647,AIRPORTS COUNCIL INTERNATIONAL -- NORTH AMERICA,Airport trade association,WASHINGTON,DC
658,"AIRTOUCH COMMUNICATIONS, INC",,WASHINGTON,DC
660,AITKEN BERLIN & VROOMAN,,WASHINGTON,DC
671,AKER PARTNERS,,WASHINGTON,DC
682,AKIN GUMP STRAUSS HAUER & FELD,Law firm,WASHINGTON,DC
693,ALABAMA FARMERS FEDERATION,Agricultural Membership Organization,Montgomery,AL
716,ALABAMA POWER CO,,BIRMINGHAM,AL
727,ALADAN CORP,,DOTHAN,AL
738,GUTTMACHER INSTITUTE,,WASHINGTON,DC
740,ALASKA CONSERVATION FOUNDATION,environmental,ANCHORAGE,AK
751,ALASKA ESKIMO WHALING COMMISSION,,BARROW,AK
762,ALASKA WILDERNESS LEAGUE,,Washington,DC
773,ALBANIAN AMERICAN CIVIC LEAGUE,,OSSINING,NY
784,ALBERS & CO,,ARLINGTON,VA
795,"ALBERTINE ENTERPRISES, INC.",Lobbyist,WASHINGTON,DC
807,"ALBISA, CATHERINE",,,DC
818,ALCALDE & FAY,Government Relations and Lobbying,ARLINGTON,VA
831,"ALE & ASSOC, JOHN R.",,WASHINGTON,DC
842,(DO NOT USE) ALEXANDER & CLEAVER,,,MD
853,ALEXANDRIA ENERGY ASSOC,,SANTA ROSA,CA
864,ALFORD & ASSOCIATES,Congressional/government relations,Fairfax,VA
875,"ALLEGHENY HEALTH, EDUCATION & RESEARCH FOUNDATION",,PITTSBURGH,PA
886,"ALLEGHENY ENERGY, INC.",,WASHINGTON,DC
